c,n,lambda(X)
0,2,4
0,4,6.81906
0,8,7.66142
0,16,7.71776
0,32,7.79935
0,64,7.84666
0,128,7.82123
0,256,7.82955
0,512,7.8299
0,1024,7.82982
1,2,5
1,4,7.81306
1,8,8.65101
1,16,8.73053
1,32,8.76277
1,64,8.80359
1,128,8.81312
1,256,8.8072
1,512,8.80858
1,1024,8.80784
2,2,6
2,4,8.8135
2,8,9.59529
2,16,9.82886
2,32,9.74876
2,64,9.77155
2,128,9.76371
2,256,9.7726
2,512,9.78973
2,1024,9.78886
3,2,7
3,4,9.80587
3,8,10.5984
3,16,10.7553
3,32,10.782
3,64,10.7602
3,128,10.7752
3,256,10.7661
3,512,10.767
3,1024,10.7658
4,2,8
4,4,10.8038
4,8,11.19
4,16,11.6223
4,32,11.7118
4,64,11.7539
4,128,11.7408
4,256,11.7448
4,512,11.7389
4,1024,11.7435
5,2,9
5,4,11.8154
5,8,12.2064
5,16,12.7295
5,32,12.7271
5,64,12.7127
5,128,12.7073
5,256,12.7305
5,512,12.7218
5,1024,12.7223
6,2,10
6,4,11.3965
6,8,13.6146
6,16,13.6897
6,32,13.6453
6,64,13.6861
6,128,13.7005
6,256,13.704
6,512,13.7105
6,1024,13.6982
7,2,11
7,4,13.7761
7,8,14.1607
7,16,14.7429
7,32,14.5856
7,64,14.6737
7,128,14.6797
7,256,14.6816
7,512,14.6772
7,1024,14.6885
8,2,12
8,4,14.7684
8,8,15.5405
8,16,15.6778
8,32,15.5931
8,64,15.6631
8,128,15.646
8,256,15.6442
8,512,15.6637
8,1024,15.6697
9,2,13
9,4,15.7523
9,8,16.1701
9,16,16.4786
9,32,16.6446
9,64,16.6162
9,128,16.6354
9,256,16.6358
9,512,16.6483
9,1024,16.6452
10,2,14
10,4,16.7375
10,8,17.5622
10,16,17.6495
10,32,17.5584
10,64,17.6084
10,128,17.6171
10,256,17.6203
10,512,17.6208
10,1024,17.626
