c,n,lambda(X)
0,2,0
0,4,0.499908
0,8,0.850978
0,16,0.956523
0,32,0.975674
0,64,0.97343
0,128,0.976796
0,256,0.978059
0,512,0.978801
0,1024,0.979006
1,2,0
1,4,0.320049
1,8,0.547935
1,16,0.644953
1,32,0.630851
1,64,0.650684
1,128,0.650665
1,256,0.651974
1,512,0.652414
1,1024,0.652773
2,2,0
2,4,0.222293
2,8,0.379757
2,16,0.468334
2,32,0.477606
2,64,0.488081
2,128,0.487795
2,256,0.488608
2,512,0.488753
2,1024,0.488988
3,2,0
3,4,0.163301
3,8,0.294622
3,16,0.384069
3,32,0.380687
3,64,0.387989
3,128,0.389086
3,256,0.390803
3,512,0.391491
3,1024,0.39159
4,2,0
4,4,0.125017
4,8,0.214014
4,16,0.314606
4,32,0.322103
4,64,0.323684
4,128,0.326154
4,256,0.326189
4,512,0.326242
4,1024,0.326049
5,2,0
5,4,0.0987739
5,8,0.169121
5,16,0.271753
5,32,0.272404
5,64,0.278907
5,128,0.278568
5,256,0.278973
5,512,0.279576
5,1024,0.279653
6,2,0
6,4,0.0800094
6,8,0.134044
6,16,0.22714
6,32,0.244052
6,64,0.243285
6,128,0.243678
6,256,0.244243
6,512,0.244612
6,1024,0.24472
7,2,0
7,4,0.0661049
7,8,0.113236
7,16,0.207142
7,32,0.211168
7,64,0.21475
7,128,0.216819
7,256,0.2172
7,512,0.217428
7,1024,0.217506
8,2,0
8,4,0.0555686
8,8,0.0951679
8,16,0.173138
8,32,0.189137
8,64,0.195137
8,128,0.195011
8,256,0.195594
8,512,0.195596
8,1024,0.195748
9,2,0
9,4,0.0473459
9,8,0.0810303
9,16,0.166231
9,32,0.176803
9,64,0.174996
9,128,0.177637
9,256,0.177967
9,512,0.177886
9,1024,0.177984
10,2,0
10,4,0.0408203
10,8,0.0698935
10,16,0.0796822
10,32,0.156836
10,64,0.160902
10,128,0.162309
10,256,0.162627
10,512,0.163071
10,1024,0.163135
